dataset,kind,batch,repeat,n_keys,events,max_abs_error,discrete_mismatches,process_rss_mb,incremental_elapsed_ms,incremental_write_lookup_ms,incremental_refresh_ms,incremental_refreshed,incremental_affected,full_elapsed_ms,full_write_lookup_ms,full_refresh_ms,full_refreshed,full_affected
ICEWS14,counter,10,4,21667,72886,1.1102230246251565e-16,0,169.4921875,0.1797,0.0378,0.1419,10,10,124.6803,0.0307,124.6496,21667,10
ICEWS14,counter,10,5,21667,72896,1.1102230246251565e-16,0,169.53515625,0.2805,0.0612,0.2193,10,10,124.053,0.0431,124.0099,21667,10
ICEWS14,counter,10,6,21667,72906,1.1102230246251565e-16,0,169.4921875,0.2154,0.0435,0.1719,10,10,175.9875,0.0357,175.9518,21667,10
ICEWS14,counter,10,7,21667,72916,1.1102230246251565e-16,0,169.53515625,0.2622,0.0522,0.21,10,10,127.3312,0.0459,127.2853,21667,10
ICEWS14,counter,10,8,21667,72926,1.1102230246251565e-16,0,169.4921875,0.201,0.0428,0.1582,10,10,126.2932,0.0325,126.2607,21667,10
ICEWS14,counter,10,9,21667,72936,1.1102230246251565e-16,0,169.40625,0.2821,0.0544,0.2277,10,10,135.3454,0.0517,135.2937,21667,10
ICEWS14,counter,100,0,21667,73036,1.1102230246251565e-16,0,169.67578125,1.1634,0.2713,0.8921,100,100,128.796,0.3108,128.4852,21667,100
ICEWS14,counter,100,1,21667,73136,1.1102230246251565e-16,0,169.52734375,1.0792,0.3149,0.7643,100,100,168.4082,0.2842,168.124,21667,100
ICEWS14,counter,100,2,21667,73236,1.1102230246251565e-16,0,169.5703125,0.975,0.2743,0.7007,100,100,123.5573,0.315,123.2423,21667,100
ICEWS14,counter,100,3,21667,73336,1.1102230246251565e-16,0,169.5859375,1.1252,0.3174,0.8078,100,100,123.9224,0.3073,123.6151,21667,100
ICEWS14,counter,100,4,21667,73436,1.1102230246251565e-16,0,169.5703125,0.98,0.2742,0.7058,100,100,128.5054,0.329,128.1764,21667,100
ICEWS14,counter,100,5,21667,73536,1.1102230246251565e-16,0,169.5859375,1.0729,0.3142,0.7587,100,100,120.0906,0.2757,119.8149,21667,100
ICEWS14,counter,100,6,21667,73636,1.1102230246251565e-16,0,169.5703125,0.9925,0.2671,0.7254,100,100,167.3573,0.3283,167.029,21667,100
ICEWS14,counter,100,7,21667,73736,1.1102230246251565e-16,0,169.5859375,1.011,0.2879,0.7231,100,100,123.347,0.2566,123.0904,21667,100
ICEWS14,counter,100,8,21667,73836,1.1102230246251565e-16,0,169.5703125,0.9323,0.2575,0.6748,100,100,117.9734,0.2984,117.675,21667,100
ICEWS14,counter,100,9,21667,73936,1.1102230246251565e-16,0,169.5859375,0.9566,0.2911,0.6655,100,100,120.3221,0.2668,120.0553,21667,100
ICEWS14,counter,1000,0,21667,74936,1.1102230246251565e-16,0,169.54296875,9.1843,2.3509,6.8334,1000,1000,127.0783,2.4128,124.6655,21667,1000
ICEWS14,counter,1000,1,21667,75936,1.1102230246251565e-16,0,169.04296875,10.0865,3.1687,6.9178,1000,1000,128.6498,2.5518,126.098,21667,1000
ICEWS14,counter,1000,2,21667,76936,8.326672684688674e-17,0,169.6796875,9.3619,2.3786,6.9833,1000,1000,177.2075,3.4797,173.7278,21667,1000
ICEWS14,counter,1000,3,21667,77936,8.326672684688674e-17,0,170.046875,10.3414,2.9491,7.3923,1000,1000,132.6915,2.5644,130.1271,21667,1000
ICEWS14,counter,1000,4,21667,78936,8.326672684688674e-17,0,170.12109375,11.114,4.0446,7.0694,1000,1000,132.8866,2.3841,130.5025,21667,1000
ICEWS14,counter,1000,5,21667,79936,8.326672684688674e-17,0,171.140625,9.1458,2.6975,6.4483,1000,1000,130.7942,2.2863,128.5079,21667,1000
ICEWS14,counter,1000,6,21667,80936,8.326672684688674e-17,0,171.859375,7.807,2.2037,5.6033,1000,1000,182.3153,2.4888,179.8265,21667,1000
ICEWS14,counter,1000,7,21667,81936,8.326672684688674e-17,0,173.90625,9.4518,2.5901,6.8617,1000,1000,130.6543,2.6593,127.995,21667,1000
ICEWS14,counter,1000,8,21667,82936,8.326672684688674e-17,0,173.5625,8.2087,2.5112,5.6975,1000,1000,133.8269,3.611,130.2159,21667,1000
ICEWS14,counter,1000,9,21667,83936,8.326672684688674e-17,0,175.078125,8.2827,2.5118,5.7709,1000,1000,134.9585,2.3328,132.6257,21667,1000
ICEWS14,clock,0,0,21667,83936,0.0,0,176.703125,128.0094,0.0007,128.0087,21667,0,188.1956,0.0011,188.1945,21667,0
ICEWS14,clock,0,1,21667,83936,0.0,0,175.65625,130.6906,0.0012,130.6894,21667,0,128.196,0.0012,128.1948,21667,0
ICEWS14,clock,0,2,21667,83936,0.0,0,176.703125,129.7214,0.0012,129.7202,21667,0,132.6469,0.0013,132.6456,21667,0
ICEWS14,clock,0,3,21667,83936,0.0,0,176.5859375,128.9581,0.0011,128.957,21667,0,131.6764,0.0011,131.6753,21667,0
ICEWS14,clock,0,4,21667,83936,0.0,0,175.66015625,189.1192,0.001,189.1182,21667,0,131.0171,0.0031,131.014,21667,0
ICEWS14,clock,0,5,21667,83936,0.0,0,176.70703125,136.3744,0.0013,136.3731,21667,0,132.0481,0.0014,132.0467,21667,0
ICEWS14,clock,0,6,21667,83936,0.0,0,175.66015625,128.0626,0.001,128.0616,21667,0,131.1037,0.0018,131.1019,21667,0
ICEWS14,clock,0,7,21667,83936,0.0,0,176.578125,126.6087,0.0014,126.6073,21667,0,191.767,0.0013,191.7657,21667,0
ICEWS14,clock,0,8,21667,83936,0.0,0,176.70703125,128.6611,0.0009,128.6602,21667,0,125.9925,0.001,125.9915,21667,0
ICEWS14,clock,0,9,21667,83936,0.0,0,176.65625,125.5097,0.0011,125.5086,21667,0,123.2081,0.0012,123.2069,21667,0
