dataset,batch,repeat,kind,max_abs_error,full_elapsed_ms,full_write_ms,full_refresh_ms,full_affected,full_refreshed,incremental_elapsed_ms,incremental_write_ms,incremental_refresh_ms,incremental_affected,incremental_refreshed
ICEWS05-15,100,0,restore,0.0,3156.341699999757,130.99219999276102,3025.349500006996,197,5000,720.3748000029009,144.42010001221206,575.9546999906888,197,197
ICEWS05-15,100,1,delete,0.0,3175.899699999718,118.7377999885939,3057.161900011124,187,5000,617.4783000024036,106.02209999342448,511.4562000089791,187,187
ICEWS05-15,100,1,restore,0.0,3759.607800006052,114.15300000226124,3645.4548000037903,187,5000,724.8617000004742,152.5188999949023,572.3428000055719,187,187
ICEWS05-15,100,2,delete,0.0,3263.895900003263,131.23080000514165,3132.665099998121,131,5000,521.3787999964552,144.3931999965571,376.9855999998981,131,131
ICEWS05-15,100,2,restore,0.0,3071.4787999895634,117.7270999905886,2953.751699998975,131,5000,511.704100004863,110.43410000274888,401.2700000021141,131,131
ICEWS05-15,100,3,delete,0.0,3258.182100005797,133.22170000174083,3124.9604000040563,121,5000,594.0564000047743,101.35840000293685,492.6980000018375,121,121
ICEWS05-15,100,3,restore,0.0,3537.6612999971258,134.67339999624528,3402.9879000008805,121,5000,521.0844000102952,114.8626000067452,406.22180000355,121,121
ICEWS05-15,100,4,delete,0.0,3454.283099999884,124.46360000467394,3329.81949999521,118,5000,498.192699989886,97.10459999041632,401.0880999994697,118,118
ICEWS05-15,100,4,restore,0.0,3396.109699999215,125.84079999942333,3270.268899999792,118,5000,616.2019999901531,128.3415999932913,487.8603999968618,118,118
ICEWS05-15,100,5,delete,0.0,3336.850500010769,98.58240000903606,3238.268100001733,140,5000,576.4377000014065,106.27640000893734,470.16129999246914,140,140
ICEWS05-15,100,5,restore,0.0,3153.2796999963466,88.89250000356697,3064.38719999278,140,5000,609.7857999993721,97.58500001044013,512.200799988932,140,140
ICEWS05-15,100,6,delete,0.0,3195.7112999953097,127.25859999773093,3068.4526999975787,206,5000,733.3272999967448,134.72539999929722,598.6018999974476,206,206
ICEWS05-15,100,6,restore,0.0,3273.913099998026,147.63490000041202,3126.278199997614,206,5000,779.6470999892335,117.34689999138936,662.3001999978442,206,206
ICEWS05-15,100,7,delete,0.0,3186.4710000081686,124.79700001131278,3061.673999996856,185,5000,772.3621000041021,143.68029999604914,628.681800008053,185,185
ICEWS05-15,100,7,restore,0.0,3263.5562000068603,131.30310000269674,3132.253100004164,185,5000,700.4353000083938,142.85830000881106,557.5769999995828,185,185
ICEWS05-15,100,8,delete,0.0,3474.9472999974387,108.89220000535715,3366.055099992081,151,5000,650.3117999964161,107.00629999337252,543.3055000030436,151,151
ICEWS05-15,100,8,restore,0.0,3430.573599995114,110.6034999975236,3319.9700999975903,151,5000,607.5014000089141,100.65050001139753,506.8508999975165,151,151
ICEWS05-15,100,9,delete,0.0,3239.8453999921912,43.14169999270234,3196.703699999489,133,5000,174.91769998741802,33.15969998948276,141.75799999793526,133,133
ICEWS05-15,100,9,restore,0.0,2976.6629000077955,35.368100012419745,2941.294799995376,133,5000,195.6800000043586,42.24890000477899,153.4310999995796,133,133
ICEWS05-15,1000,0,delete,0.0,4113.430199999129,1119.6253999951296,2993.804800004,995,5000,2354.038200006471,1065.1338000025137,1288.9044000039576,995,995
ICEWS05-15,1000,0,restore,0.0,4105.047899996862,1113.8556999940192,2991.1922000028426,995,5000,2475.6815000000643,1199.678099990706,1276.0034000093583,995,995
ICEWS05-15,1000,1,delete,0.0,3852.0079999871086,993.8681999919936,2858.139799995115,971,5000,2460.3197000105865,1031.6505000082543,1428.6692000023322,971,971
ICEWS05-15,1000,1,restore,0.0,4063.77049999719,1040.6831000000238,3023.0873999971664,971,5000,2466.178900009254,1029.275900000357,1436.903000008897,971,971
ICEWS05-15,1000,2,delete,0.0,4120.473000002676,848.2253999973182,3272.247600005357,976,5000,2344.349200007855,910.281100004795,1434.06810000306,976,976
ICEWS05-15,1000,2,restore,0.0,3850.0191000057375,868.687800000771,2981.3313000049675,976,5000,2283.447299996624,871.667500003241,1411.7797999933828,976,976
ICEWS05-15,1000,3,delete,0.0,4097.196400005487,1162.8300000011222,2934.366400004365,1008,5000,2453.88549999916,1138.206599993282,1315.678900005878,1008,1008
ICEWS05-15,1000,3,restore,0.0,4219.572399990284,1215.7843000022694,3003.7880999880144,1008,5000,2669.621200009715,1252.929199996288,1416.6920000134269,1008,1008
