selector,aurc,mrr,hits1,hits3,hits10,neural_mrr,neural_hits1,neural_hits3,neural_hits10,brier,ece,risk20,worst_flip1_20,random_flip2_20,shifted_flip_20,wide_flip_20,event_flip_20,deployed_coverage20,deployed_risk20,risk40,worst_flip1_40,random_flip2_40,shifted_flip_40,wide_flip_40,event_flip_40,deployed_coverage40,deployed_risk40,certified_coverage,seed,model,dataset
Probability calibration,0.4639940039425254,0.5043704288776116,0.3891528107680126,0.5619556611243072,0.7389152810768013,0.4551768750729437,0.3248218527315915,0.5197941409342834,0.723673792557403,0.2225704662057627,0.0289991942688475,0.3399999999999999,0.273,0.187875,0.266,0.275,0.254,0.18,0.31,0.4805,0.438,0.264,0.434,0.4465,0.408,0.3204,0.4737827715355805,,1,TemporalComplEx,ICEWS05-15
Score calibration,0.4270315624910694,0.5043704288776116,0.3891528107680126,0.5619556611243072,0.7389152810768013,0.4551768750729437,0.3248218527315915,0.5197941409342834,0.723673792557403,0.2062487803540245,0.0492385599335379,0.27,0.13,0.061375,0.127,0.134,0.12,0.2262,0.2873563218390804,0.418,0.331,0.19775,0.33,0.338,0.3045,0.3918,0.414497192445125,,1,TemporalComplEx,ICEWS05-15
Evidence calibration,0.3982631922614219,0.5043704288776116,0.3891528107680126,0.5619556611243072,0.7389152810768013,0.4551768750729437,0.3248218527315915,0.5197941409342834,0.723673792557403,0.1895426392271949,0.0119326525928201,0.238,0.035,0.0085,0.046,0.049,0.027,0.3288,0.3169099756690997,0.3675,0.183,0.0339375,0.1845,0.201,0.151,0.5248,0.4432164634146341,,1,TemporalComplEx,ICEWS05-15
Certificate calibration,0.3905364960318253,0.5043704288776116,0.3891528107680126,0.5619556611243072,0.7389152810768013,0.4551768750729437,0.3248218527315915,0.5197941409342834,0.723673792557403,0.1864306512067485,0.0231785200746045,0.2209999999999999,0.0,0.000625,0.005,0.004,0.001,0.3248,0.3084975369458128,0.3555,0.141,0.033625,0.146,0.16,0.123,0.5472,0.4488304093567251,,1,TemporalComplEx,ICEWS05-15
Ensemble calibration,0.385422783386845,0.5043704288776116,0.3891528107680126,0.5619556611243072,0.7389152810768013,0.4551768750729437,0.3248218527315915,0.5197941409342834,0.723673792557403,0.180904533382939,0.0207502958897574,0.2189999999999999,0.105,0.032125,0.104,0.11,0.095,0.2652,0.2624434389140271,0.3335,0.223,0.078125,0.2195,0.2305,0.202,0.4424,0.3621157323688969,,1,TemporalComplEx,ICEWS05-15
ensemble_probability,0.4004282277947504,0.5043704288776116,0.3891528107680126,0.5619556611243072,0.7389152810768013,0.4551768750729437,0.3248218527315915,0.5197941409342834,0.723673792557403,0.2289563141195263,0.1892446655836586,0.29,0.147,0.0225,0.143,0.154,0.127,0.335,0.3337313432835821,0.366,0.2365,0.053,0.2285,0.245,0.2025,0.5492,0.4246176256372905,,1,TemporalComplEx,ICEWS05-15
Temperature scaling,0.4416032841131125,0.5043704288776116,0.3891528107680126,0.5619556611243072,0.7389152810768013,0.4551768750729437,0.3248218527315915,0.5197941409342834,0.723673792557403,0.2645644745242564,0.2253684457268407,0.369,0.157,0.018375,0.153,0.162,0.131,0.3876,0.4282765737874097,0.434,0.2355,0.038375,0.234,0.247,0.206,0.5566,0.4574200503054257,,1,TemporalComplEx,ICEWS05-15
Certified 1-window,,0.5043704288776116,0.3891528107680126,0.5619556611243072,0.7389152810768013,0.4551768750729437,0.3248218527315915,0.5197941409342834,0.723673792557403,,,0.2209999999999999,0.0,0.000625,0.005,0.004,0.001,0.2958,0.290736984448952,0.365,0.0,0.01875,0.027,0.037,0.0145,0.3802,0.3587585481325618,0.5264,1,TemporalComplEx,ICEWS05-15
Certified 2-window,,0.5043704288776116,0.3891528107680126,0.5619556611243072,0.7389152810768013,0.4551768750729437,0.3248218527315915,0.5197941409342834,0.723673792557403,,,0.2189999999999999,0.0,0.0,0.0,0.0,0.001,0.2572,0.2690513219284604,0.4135,0.0,0.0,0.0015,0.0,0.0065,0.2936,0.30858310626703,0.4214,1,TemporalComplEx,ICEWS05-15
max_probability,0.5211031061829743,0.507605884127431,0.3889548693586698,0.5698733174980206,0.7496041171813144,0.453704406358311,0.3256136183689628,0.5146476642913698,0.7288202692003167,0.2770029689524074,0.1964825578743597,0.472,0.205,0.0565,0.211,0.213,0.153,0.4212,0.5327635327635327,0.526,0.3185,0.085625,0.3215,0.332,0.2615,0.7112,0.5832395950506186,,2,TemporalComplEx,ICEWS05-15
